,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,name,mlb_id,babip
87,572122,2020,33,203,248,49,28,12,0,9,33,32,13.3,12.9,0.24100000000000002,0.433,0.355,0.7879999999999999,6,0.252,0.47200000000000003,0.33799999999999997,0.365,0.371,0.22,89.1,17.7,10.2,Kyle Seager,572122,0.23952095808383234
88,572233,2020,29,218,243,59,33,18,1,7,50,19,20.6,7.8,0.271,0.45899999999999996,0.33299999999999996,0.792,3,0.264,0.449,0.341,0.33899999999999997,0.32899999999999996,0.185,90.4,11.5,6.4,Christian Walker,572233,0.3170731707317073
89,592192,2020,31,191,243,47,28,12,2,5,54,37,22.2,15.2,0.24600000000000002,0.408,0.387,0.795,5,0.23800000000000002,0.41100000000000003,0.35100000000000003,0.35600000000000004,0.384,0.17300000000000001,89.7,19.4,7.7,Mark Canha,592192,0.30656934306569344
90,593643,2020,28,219,231,62,44,15,0,3,30,5,13.0,2.2,0.28300000000000003,0.39299999999999996,0.303,0.696,2,0.244,0.316,0.301,0.259,0.26899999999999996,0.07200000000000001,82.3,13.2,1.0,Hanser Alberto,593643,0.31382978723404253
91,596748,2020,28,223,243,62,38,16,0,8,38,16,15.6,6.6,0.278,0.457,0.321,0.778,4,0.254,0.39399999999999996,0.32899999999999996,0.304,0.302,0.14,86.7,8.4,5.8,Maikel Franco,596748,0.2983425414364641
92,598265,2020,30,191,217,54,36,11,0,7,48,23,22.1,10.6,0.28300000000000003,0.45,0.364,0.8140000000000001,1,0.226,0.371,0.35200000000000004,0.305,0.315,0.14400000000000002,88.3,4.4,7.6,Jackie Bradley Jr.,598265,0.34306569343065696
93,607208,2020,27,233,259,78,47,15,4,12,36,22,13.9,8.5,0.335,0.588,0.39399999999999996,0.982,2,0.299,0.509,0.413,0.379,0.365,0.209,90.5,9.5,9.5,Trea Turner,607208,0.35294117647058826
94,608070,2020,28,219,254,64,30,16,1,17,43,31,16.9,12.2,0.292,0.607,0.386,0.993,1,0.263,0.505,0.415,0.37200000000000005,0.361,0.242,88.7,23.2,10.2,Jose Ramirez,608070,0.29375
95,608369,2020,26,212,232,65,37,12,1,15,37,17,15.9,7.3,0.307,0.585,0.358,0.943,2,0.326,0.645,0.39399999999999996,0.42700000000000005,0.376,0.319,93.2,11.9,15.8,Corey Seager,608369,0.30864197530864196
96,621020,2020,26,237,264,65,40,15,0,10,71,22,26.9,8.3,0.27399999999999997,0.46399999999999997,0.345,0.809,1,0.266,0.47200000000000003,0.348,0.35200000000000004,0.34,0.20600000000000002,89.1,14.7,11.4,Dansby Swanson,621020,0.3503184713375796
97,630105,2020,26,172,192,49,27,15,3,4,30,18,15.6,9.4,0.285,0.47700000000000004,0.354,0.831,1,0.321,0.5379999999999999,0.35600000000000004,0.396,0.387,0.217,89.8,10.6,10.5,Jake Cronenworth,630105,0.3237410071942446
98,645302,2020,23,168,189,37,28,5,1,3,53,9,28.0,4.8,0.22,0.315,0.29100000000000004,0.606,2,0.205,0.28,0.273,0.262,0.284,0.075,82.2,19.0,1.7,Victor Robles,645302,0.2982456140350877
99,650391,2020,24,213,226,63,35,14,0,14,56,12,24.8,5.3,0.29600000000000004,0.5589999999999999,0.332,0.8909999999999999,1,0.282,0.5429999999999999,0.373,0.368,0.321,0.261,92.4,5.7,16.5,Eloy Jimenez,650391,0.3402777777777778
100,657108,2020,24,182,202,32,17,7,0,8,84,18,41.6,8.9,0.17600000000000002,0.34600000000000003,0.252,0.599,1,0.18899999999999997,0.384,0.261,0.29,0.26899999999999996,0.19399999999999998,91.7,13.7,14.1,Evan White,657108,0.26373626373626374
101,657656,2020,26,183,222,39,24,8,1,6,58,24,26.1,10.8,0.213,0.366,0.33799999999999997,0.7040000000000001,3,0.235,0.408,0.315,0.342,0.35700000000000004,0.17300000000000001,87.7,12.3,9.4,Ramon Laureano,657656,0.27049180327868855
102,663586,2020,23,188,206,45,29,7,1,8,49,16,23.8,7.8,0.239,0.415,0.301,0.716,1,0.257,0.461,0.307,0.33299999999999996,0.317,0.204,91.0,13.6,10.0,Austin Riley,663586,0.2803030303030303
103,664040,2020,26,193,224,52,27,9,2,14,58,25,25.9,11.2,0.26899999999999996,0.5539999999999999,0.36200000000000004,0.9159999999999999,2,0.26,0.547,0.385,0.382,0.354,0.28800000000000003,89.8,18.1,17.5,Brandon Lowe,664040,0.3089430894308943
104,668804,2020,25,185,208,35,20,6,2,7,57,21,27.4,10.1,0.18899999999999997,0.35700000000000004,0.27399999999999997,0.631,0,0.22699999999999998,0.39899999999999997,0.278,0.312,0.31,0.172,87.5,10.2,10.2,Bryan Reynolds,668804,0.23140495867768596
